
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/22/2018 16:07:24";"528";"32";"0";"560";"93.8";
"10/22/2018 16:07:25";"528";"31";"0";"559";"93.7";
"10/22/2018 16:07:26";"528";"31";"0";"559";"93.7";
"10/22/2018 16:07:27";"528";"31";"0";"559";"93.7";
"10/22/2018 16:07:28";"528";"31";"0";"559";"93.7";
"10/22/2018 16:07:29";"528";"31";"0";"559";"93.7";
"10/22/2018 16:07:31";"528";"31";"0";"559";"93.8";
"10/22/2018 16:07:32";"529";"31";"0";"560";"93.8";
"10/22/2018 16:07:33";"529";"31";"0";"560";"93.8";
"10/22/2018 16:07:34";"529";"31";"0";"560";"93.7";
"10/22/2018 16:07:35";"529";"31";"0";"560";"93.7";
"10/22/2018 16:07:36";"529";"31";"0";"560";"93.7";
"10/22/2018 16:07:37";"529";"30";"0";"559";"93.6";
"10/22/2018 16:07:38";"529";"30";"0";"559";"93.6";
"10/22/2018 16:07:39";"530";"30";"0";"560";"93.6";
"10/22/2018 16:07:40";"530";"30";"0";"560";"93.7";
"10/22/2018 16:07:41";"530";"30";"0";"560";"93.7";
"10/22/2018 16:07:43";"530";"30";"0";"560";"93.7";
"10/22/2018 16:07:44";"531";"30";"0";"561";"93.8";
"10/22/2018 16:07:45";"531";"30";"0";"561";"93.7";
"10/22/2018 16:07:46";"531";"30";"0";"561";"93.7";
"10/22/2018 16:07:47";"532";"29";"0";"561";"93.7";
"10/22/2018 16:07:48";"532";"30";"0";"562";"93.6";
"10/22/2018 16:07:49";"533";"29";"0";"562";"93.6";
"10/22/2018 16:07:50";"533";"29";"0";"562";"93.6";
"10/22/2018 16:07:51";"533";"29";"0";"562";"93.6";
"10/22/2018 16:07:52";"533";"29";"0";"562";"93.6";
"10/22/2018 16:07:53";"534";"29";"0";"563";"93.6";
"10/22/2018 16:07:55";"534";"29";"0";"563";"93.6";
"10/22/2018 16:07:56";"534";"29";"0";"563";"93.6";
"10/22/2018 16:07:57";"535";"29";"0";"564";"93.6";
"10/22/2018 16:07:58";"536";"28";"0";"564";"93.6";
"10/22/2018 16:07:59";"536";"28";"0";"564";"93.7";
"10/22/2018 16:08:00";"536";"28";"0";"564";"93.6";
"10/22/2018 16:08:01";"537";"28";"0";"565";"93.6";
"10/22/2018 16:08:02";"537";"28";"0";"565";"93.6";
"10/22/2018 16:08:03";"537";"28";"0";"565";"93.5";
"10/22/2018 16:08:04";"537";"28";"0";"565";"93.5";
"10/22/2018 16:08:06";"537";"28";"0";"565";"93.5";
"10/22/2018 16:08:07";"538";"28";"0";"566";"93.5";
"10/22/2018 16:08:08";"538";"28";"0";"566";"93.5";
"10/22/2018 16:08:09";"538";"28";"0";"566";"93.5";
"10/22/2018 16:08:10";"538";"27";"0";"565";"93.4";
"10/22/2018 16:08:11";"539";"27";"0";"566";"93.4";
"10/22/2018 16:08:12";"539";"27";"0";"566";"93.4";
"10/22/2018 16:08:13";"539";"27";"0";"566";"93.4";
"10/22/2018 16:08:14";"539";"27";"0";"566";"93.4";
"10/22/2018 16:08:15";"539";"27";"0";"566";"93.4";
"10/22/2018 16:08:16";"539";"27";"0";"566";"93.4";
"10/22/2018 16:08:18";"539";"27";"0";"566";"93.3";
"10/22/2018 16:08:19";"539";"27";"0";"566";"93.3";
"10/22/2018 16:08:20";"539";"26";"0";"566";"93.4";
"10/22/2018 16:08:21";"539";"26";"0";"565";"93.4";
"10/22/2018 16:08:22";"539";"26";"0";"565";"93.3";
"10/22/2018 16:08:23";"539";"26";"0";"565";"93.3";
"10/22/2018 16:08:24";"539";"26";"0";"565";"93.3";
"10/22/2018 16:08:25";"539";"26";"0";"565";"93.3";
"10/22/2018 16:08:26";"539";"26";"0";"565";"93.3";
"10/22/2018 16:08:27";"539";"26";"0";"565";"93.3";
"10/22/2018 16:08:28";"539";"26";"0";"565";"93.3";
